描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
安川广东-柳州商泰,SRTC-5C11435L,中小型,136.0,握杆（铝）,4500.0,,ITS85,86.0,水平,125,右,45.0,PANASONIC,1.0,联轴器型,铝,210,无,330.0,无,375.0,1进1出,104.0,,,,,,,,,,,,,
武汉维斯科德_岚图汽车,SRTC-2C11429L,大型,215.0,握杆（SBA）,4000.0,,ITS85,107.0,水平,125,右,0.0,FANUC,1.0,中空,铝,310,无,207.5,无,,2进2出,,,,,,,,,,,,,,
武汉维斯科德_岚图汽车,SRTC-2C11430L,大型,,握杆（铝）,,,ITS85,,水平,125,上,45.0,FANUC,,中空,铝,310,,540.0,,565.0,,124.0,,,,,,,,,,,,,
鑫燕隆_上汽郑州一厂-ZS32,SRTC-S2C11394AL,中小型,170.0,握杆（SBA）,4500.0,,RT752,128.0,水平,125-160,右,30.0,FANUC,1.0,联轴器型,铝,210,无,200.0,无,383.0,1进1出,74.0,,,,,,,,,,,,,
OIND_VECV PRO2000,SRTC-2C11330L,大型,290.0,握杆（铝）,4000.0,,DB6-100R1,151.0,水平,160,右,,KUKA,1.0,联轴器型,铝,310,无,390.0,无,719.0,1进1出,184.0,,,,,,,,,,,,,
天津福臻-重庆长安F202&S202项目,SRTC-2C6486AL,中小型,,握杆（SBA）,,,DB6-100R1,,水平,125,右,,KUKA,,中空,SS400,210,,105.0,,413.0,,88.0,,,,,,,,,,,,,
OIND_VECV PRO2000,SRTC-2C11402L,大型,176.0,握杆（铝）,4500.0,,DB6-100R1,153.0,水平,160,下,0.0,KUKA,1.0,联轴器型,SS400,310,无,410.0,无,561.0,1进1出,174.0,,,,,,,,,,,,,
OIND_VECV PRO2000,SRTC-2C11400L,大型,230.0,握杆（铝）,4500.0,,DB6-100R1,142.0,水平,160,右,,KUKA,1.0,联轴器型,铝,310,无,700.0,无,693.5,1进1出,174.0,,,,,,,,,,,,,
OIND_VECV PRO2000,SRTC-2C11399L,大型,250.0,握杆（铝）,5000.0,,DB6-100R1,137.0,水平,160,上,,KUKA,1.0,联轴器型,铝,310,无,700.0,无,693.5,1进1出,174.0,,,,,,,,,,,,,
山东迈赫-重庆长安两江三厂,SRTC-2C11378L,中小型,,TIP BASE（F 型）,,,DB6-100R1,,水平,125,前,,KUKA,,中空,铝,210,,195.0,,354.0,,,,,,,,,,,,,,,
上海ABB-济南商用车,SRTC-C11327AL,中小型,,握杆（铝）,,,BOSCH,,竖直,125,右,65.0,ABB,,联轴器型,铝,210,有,335.0,,453.0,1进1出,204.0,,,,,,,,,,,,,
上海ABB-济南商用车,SRTC-C11327L,中小型,,握杆（铝）,4000.0,,BOSCH,,竖直,160,三维,,ABB,,联轴器型,SS400,210,有,335.0,,453.0,1进1出,204.0,,,,,,,,,,,,,
成都依斯特-开封武秀,SRTC-5C11323L,中小型,,握杆（SBA）,,,ITS85,,水平,125,右,30.0,KUKA,,联轴器型,铝,210,,180.0,,425.0,1进1出,210.0,,,,,,,,,,,,,
福州仕东-宁德坤盛,SRTC-2C11321L,中小型,,握杆（铝）,4000.0,,ITS85,,水平,125,右,,FANUC,,低压,铝,210,,350.0,,400.0,2进2出,124.0,,,,,,,,,,,,,
重庆博俊_重庆腾海,SRTC-2C11409L,中小型,160.0,握杆（铝）,5000.0,,ITS85,85.0,水平,160,右,0.0,ABB,,联轴器型,铝,210,无,250.0,无,550.0,1进1出,124.0,,,,,,,,,,,,,
S-46052C武汉新松_东风实业,SRTC-5C11254L,中小型,170.0,握杆（SBA）,4500.0,,ITS85,,水平,其他,上,,,,联轴器型,铝,210,NITTA,490.0,,561.0,,124.0,,,,,,,,,,,,,
重庆博俊_重庆腾海,SRTC-2C11391L,中小型,,握杆（铝）,,,ITS85,,水平,160,右,20.0,ABB,,联轴器型,铝,210,,175.0,,341.0,,100.0,,,,,,,,,,,,,
