描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
沈阳新松-宁波同舟,SRTX-2C7273L,中小型,215.0,,3000.0,,DB6-100R1,,竖直,125,下,,,,折回,铝,,,580.0,,515.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,430.0,175.0,466.0,340.0
沈阳新松-宁波同舟,SRTX-2C7137L,中小型,210.0,,4000.0,,DB6-100R1,,水平,125,右,,,,折回,铝,,,566.0,,300.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,246.0,120.0,246.0,180.0
沈阳新松-宁波同舟,SRTX-2C7135L,中小型,190.0,,4000.0,,DB6-100R1,,水平,125,右,,,,折回,铝,,,510.0,,300.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,296.0,115.0,346.0,185.0
靖江新程,SRTX-2C7498L,中小型,210.0,,4410.0,,ITS85,,竖直,125,右,,,,中空,铝,,,560.0,,420.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,246.0,120.0,246.0,300.0
靖江新程,SRTX-2C7399L,中小型,210.0,,4410.0,,ITS85,,竖直,125,右,,,,中空,铝,,,560.0,,420.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,246.0,120.0,246.0,300.0
靖江新程,SRTX-2C7325L,中小型,210.0,,4410.0,,ITS85,,竖直,125,右,,,,中空,铝,,,560.0,,495.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,310.0,120.0,360.0,375.0
靖江新程,SRTX-2C7320L,中小型,160.0,,4500.0,,ITS85,,竖直,125,右,,,,中空,铝,,,425.0,,310.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,246.0,90.0,296.0,220.0
靖江新程,SRTX-2C7314L,中小型,185.0,,4410.0,,ITS85,,竖直,125,右,,,,中空,铝,,,501.0,,285.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,246.0,60.0,356.0,225.0
靖江新程,SRTX-2C7389L,中小型,210.0,,4410.0,,ITS85,,竖直,125,上,,,,中空,SS400,,,580.0,,370.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,296.0,110.0,346.0,260.0
靖江新程,SRTX-2C7452L,中小型,185.0,,4410.0,,ITS85,,竖直,125,上,,,,中空,铝,,,500.0,,220.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,246.0,70.0,246.0,150.0
长沙比亚迪-柔性改造项目-2(安川机器人),SRTX-2C7408L,中小型,140.0,,5000.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,400.0,,240.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,90.0,246.0,150.0
长沙比亚迪-柔性改造项目-2(安川机器人),SRTX-2C7462L,中小型,180.0,,5000.0,,DB6-100R1,,水平,125,下,,,,联轴器型,铝,,,500.0,,240.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,90.0,246.0,150.0
长沙比亚迪-柔性改造项目-2(安川机器人),SRTX-S2C7370L,中小型,196.0,,5000.0,,DB6-100R1,,水平,125,下,,,,折回,SS400,,,450.0,,275.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,55.0,296.0,220.0
长沙比亚迪-柔性改造项目-2(安川机器人),SRTX-2C7409L,中小型,140.0,,4000.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,381.0,,140.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,216.0,40.0,186.0,100.0
长沙比亚迪-柔性改造项目,SRTX-S2C7514L,中小型,196.0,,5000.0,,DB6-100R1,,水平,125,下,,,,折回,SS400,,,450.0,,275.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,55.0,296.0,220.0
重庆众思创,SRTX-2C7443L,中小型,270.0,,3000.0,,DB6-100R1,,水平,125,下,,,,中空,SS400,,,626.0,,435.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,346.0,130.0,346.0,305.0
