描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
苏州诺克-南京深园,SDEX-3C30037L,大型,155.0,,4000.0,,SMF-100,142.0,竖直,125,下,,YASKAWA,,折回,铝,其他,无,450.0,无,215.0,1进1出,,,,,,,握杆（SBA）,,握杆（?45）,,,,,
苏州诺克-南京深园,SDEX-3C30040L,大型,155.0,,4500.0,,SMF-100,136.0,竖直,125,下,,YASKAWA,,折回,铝,其他,无,450.0,无,215.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州小鹏,SDZX-3C30010L,大型,215.0,,6000.0,,其他,112.0,竖直,其他,右,,其他,,TOLOMATIC,铝,其他,无,625.0,无,360.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州小鹏,SDZX-3C30008L,大型,220.0,,4500.0,,其他,109.0,竖直,160,后,,ABB,,TOLOMATIC,铝,其他,无,654.0,无,480.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
重庆山联-杭州卡斯马星乔瑞,SDEX-3C30140L,大型,225.0,,5000.0,,ITS85,142.0,竖直,160,右,0.0,KUKA,,联轴器型,铝,160,无,650.0,无,680.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
上海ABB-广州小鹏,SDZX-3C30092L,小型,,,,,ITS85,,水平,160,上,20.0,ABB,,OBARA-中空,铝,160,无,383.0,,110.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
上海ABB-广州小鹏,SDZX-3C30089,小型,,,,,ITS85,,水平,160,下,45.0,ABB,,OBARA-中空,铝,160,无,565.0,,390.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
上海ABB_广州小鹏,SDZX-3C30090,小型,265.0,,4050.0,,其他,106.0,水平,160,右,15.0,其他,,TOLOMATIC,铝,152,无,600.0,无,350.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
上海ABB_广州小鹏,SDZX-3C30091,小型,250.0,,4400.0,,其他,105.0,水平,160,右,60.0,其他,,TOLOMATIC,铝,152,无,565.0,无,350.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
32663广州瑞松北斗_广州小鹏,SDZX-3C30104,小型,,,5000.0,,其他,,水平,160,下,,其他,,TOLOMATIC,铝,160,无,454.0,无,250.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州瑞松北斗_广州小鹏,SDZX-3C30102,小型,240.0,,4400.0,,其他,104.0,水平,160,上,,其他,,TOLOMATIC,铝,152,无,554.0,无,300.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
