描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
联恒沈阳G58项目,SDZC-3C30401L,小型,,握杆（?45）,6000.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,210,无,350.0,无,540.0,1进1出,,,,,,,,,,,,,,
联恒沈阳G58项目,SDZC-3C30400L,小型,182.0,握杆（?45）,6000.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,210,无,380.0,无,470.0,1进1出,,,,,,,,,,,,,,
联恒沈阳G58项目,SDZC-3C30402L,小型,182.0,握杆（?45）,5000.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,210,无,380.0,无,470.0,1进1出,,,,,,,,,,,,,,
M49708广州永联(北斗模拟)广汽本田,SDZC-3C30193AL,大型,285.0,握杆（?45）,4000.0,,SMF-100,,水平,其他,前,,YASKAWA,,OBARA-中空,SS400,310,NITTA,720.0,无,810.0,2进2出,,,,,,,,,,,,,,
重庆AC线下车体自动化提升项目B线车架总成,SDZC-3C30293,小型,,握杆（?45）,,,SMF-100,,水平,125,右,,其他,,OBARA-中空,铝,210,无,250.0,无,450.0,1进1出,,,,,,,,,,,,,,
天津联恒-V540,SDZC-3C30397L,小型,,握杆（?45）,,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,210,无,280.0,无,450.0,1进1出,,,,,,,,,,,,,,
天津联恒-V540,SDZC-3C30386L,小型,,握杆（?45）,,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,210,无,660.0,无,450.0,1进1出,,,,,,,,,,,,,,
天津联恒-V540,SDZC-3C30381L,小型,190.0,握杆（?45）,5900.0,,ITS85,,水平,125,上,0.0,FANUC,,OBARA-中空,铝,210,无,280.0,无,563.0,1进1出,,,,,,,,,,,,,,
天津联恒-V540,SDZC-3C30380L,小型,190.0,握杆（?45）,5900.0,,ITS85,,水平,125,右,0.0,FANUC,,OBARA-中空,铝,210,无,370.0,无,543.0,1进1出,,,,,,,,,,,,,,
天津联恒-V540,SDZC-3C30379L,小型,124.0,握杆（?45）,4700.0,,ITS85,,水平,125,上,0.0,FANUC,,OBARA-中空,铝,210,无,254.0,无,518.0,1进1出,,,,,,,,,,,,,,
上汽通用五菱-河西东部D线前车体项目,SDZC-3C30263,小型,,TIP BASE（F 型）,4500.0,,SMF-100,,水平,125,右,15.0,多摩川,,OBARA-中空,铝,210,无,209.0,无,84.0,1进1出,,110.0,下,,,,,,,,,,,
上汽通用五菱-河西东部D线前车体项目,SDZC-3C30261,小型,170.0,握杆（SBA）,450.0,,SMF-100,,水平,125,右,,多摩川,,OBARA-中空,铝,210,无,310.0,无,480.0,1进1出,,,,,,,,,,,,,,
柳州原电 上汽通用五菱-启顺,SDZC-3C30384L,小型,,握杆（?36）,,,SMF-100,,水平,125-160,右,,多摩川,,OBARA-中空,铝,210,无,300.0,无,500.0,1进1出,,,,,,,,,,,,,,
柳州原电 上汽通用五菱-启顺,SDZC-3C30383L,小型,,TIP BASE（F 型）,,,ITS85,,水平,125-160,右,,多摩川,,OBARA-中空,铝,210,无,194.0,无,416.0,1进1出,,80.0,下,,,,,,,,,,,
联恒沈阳-NCAR项目-上海正臻,SDZC-3C30377L,小型,150.0,握杆（?45）,6000.0,,ITS85,85.0,水平,125,右,0.0,FANUC,,OBARA-中空,铝,210,无,330.0,无,513.0,1进1出,,,,,,,,,,,,,,
广州永联（北斗模拟）_广汽本田_五厂,SDZC-3C30374L,小型,190.0,握杆（?45）,5500.0,,SMF-100,,水平,其他,右,,FANUC,,OBARA-中空,铝,210,NITTA,350.0,无,573.5,1进1出,,,,,,,,,,,,,,
