描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
东风设备_东风股份,SDZC-3C30365L,小型,159.0,握杆（?45）,4000.0,,ITS85,,水平,125,下,,KUKA,,OBARA-中空,铝,210,无,305.0,无,500.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份,SDZC-3C30366L,小型,159.0,握杆（?45）,4000.0,,ITS85,,水平,125,下,,KUKA,,OBARA-中空,铝,210,无,155.0,无,450.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份,SDZC-3C30320L,小型,159.0,握杆（?45）,4000.0,,ITS85,,水平,125,下,,KUKA,,OBARA-中空,铝,210,无,235.0,无,500.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份,SDZC-3C30336L,小型,130.0,握杆（?45）,3500.0,,ITS85,,水平,125,下,30.0,KUKA,,OBARA-中空,铝,210,无,160.0,无,220.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份,SDZC-3C30324L,小型,150.0,握杆（?45）,5000.0,,ITS85,,水平,160,右,,FANUC,,OBARA-中空,铝,210,有,185.0,无,445.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份,SDZC-3C30323L,小型,120.0,握杆（?45）,5000.0,,ITS85,,水平,160,上,45.0,KUKA,,OBARA-中空,SS400,210,有,170.0,无,300.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份,SDZC-3C30360L,小型,184.0,握杆（?45）,4000.0,,ITS85,,水平,160,上,25.0,FANUC,,OBARA-中空,铝,210,有,280.0,无,450.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份,SDZC-3C30355L,小型,184.0,握杆（?45）,4000.0,,ITS85,,水平,125,上,25.0,FANUC,,OBARA-中空,铝,210,无,275.0,无,400.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份,SDZC-3C30354AL,小型,45.0,握杆（?45）,4000.0,,ITS85,,水平,125,右,20.0,FANUC,,OBARA-中空,铝,210,无,200.0,无,100.0,1进1出,,136.0,下,,,,,,,,,,,
东风设备_东风股份,SDZC-3C30354L,小型,45.0,TIP BASE（F 型）,4000.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,210,无,200.0,无,100.0,1进1出,,136.0,下,,,,,,,,,,,
广州永联（中汽工程模拟）_广汽本田-五厂,SDZC-3C30201AL,小型,170.0,握杆（?45）,5500.0,,SMF-100,,水平,125,前,0.0,FANUC,,OBARA-中空,SS400,210,无,250.0,无,540.0,2进2出,,,,,,,,,,,,,,
广州永联_广汽本田,SDZC-3C30375AL,小型,130.0,TIP BASE（G 型）,5500.0,,ITS85,,水平,其他,下,0.0,YASKAWA,,OBARA-中空,铝,210,NITTA,75.0,无,349.0,2进2出,,,,,,,,,,,,,,
广州永联_广汽本田,SDZC-3C30375L,小型,130.0,TIP BASE（G 型）,5500.0,,SMF-100,,水平,其他,右,0.0,YASKAWA,,OBARA-中空,铝,210,NITTA,75.0,无,349.0,2进2出,,,,,,,,,,,,,,
东风设备-东风股份,SDZC-3C30349L,小型,114.0,握杆（?45）,5000.0,,ITS85,,水平,125,右,0.0,KUKA,,OBARA-中空,铝,210,无,200.0,无,270.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30318L,小型,,握杆（SBA）,5000.0,,ITS85,,水平,125,右,15.0,KUKA,,OBARA-中空,铝,210,无,155.0,无,450.0,1进1出,,,,,,,,,,,,,,
东风设备-东风股份,SDZC-3C30348L,小型,114.0,握杆（?45）,5000.0,,ITS85,,水平,125,右,15.0,KUKA,,OBARA-中空,铝,210,无,250.0,无,235.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30322AL,小型,154.0,握杆（?45）,4000.0,,ITS85,,水平,125,右,0.0,KUKA,,OBARA-中空,铝,210,无,280.0,无,450.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30322L,小型,154.0,握杆（?45）,4000.0,,ITS85,,水平,125,右,0.0,KUKA,,OBARA-中空,铝,210,无,280.0,无,450.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30319AL,小型,179.0,握杆（?45）,4000.0,,ITS85,,水平,125,上,30.0,KUKA,,OBARA-中空,铝,210,无,350.0,无,580.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30319L,小型,179.0,握杆（?45）,4000.0,,ITS85,,水平,125,上,0.0,KUKA,,OBARA-中空,铝,210,无,350.0,无,580.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30321L,小型,154.0,握杆（?45）,4000.0,,ITS85,,水平,125,右,0.0,KUKA,,OBARA-中空,铝,210,无,240.0,无,400.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30335AL,小型,109.0,TIP BASE（F 型）,4000.0,,ITS85,,水平,125,右,0.0,KUKA,,OBARA-中空,铝,210,无,275.0,无,,1进1出,,150.0,下,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30335L,小型,109.0,TIP BASE（F 型）,4000.0,,ITS85,,水平,125,上,30.0,KUKA,,OBARA-中空,铝,210,无,275.0,无,,1进1出,,150.0,下,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30353L,小型,181.5,握杆（SBA）,4000.0,,ITS85,106.0,水平,125,右,45.0,KUKA,,OBARA-中空,铝,310,无,115.0,无,400.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30325L,小型,189.0,握杆（?45）,5000.0,,ITS85,110.0,水平,125,上,45.0,KUKA,,OBARA-中空,SS400,210,无,600.0,无,570.0,1进1出,,,,,,,,,,,,,,
东风设备-东风股份,SDZC-3C30356L,小型,179.0,握杆（?45）,4500.0,,ITS85,,水平,160,下,45.0,KUKA,,OBARA-中空,铝,210,STAUBLI,280.0,无,450.0,1进1出,,,,,,,,,,,,,,
东风设备_东风股份-2310项目,SDZC-3C30314L,小型,164.0,握杆（?45）,4000.0,,ITS85,,水平,125,后,45.0,KUKA,,OBARA-中空,SS400,210,无,340.0,无,580.0,1进1出,,,,,,,,,,,,,,
广西原南_上汽通用五菱-宝骏新能源,SDZC-3C30288L,小型,131.0,TIP BASE（F 型）,5500.0,,SMF-100,,水平,125,右,0.0,YASKAWA,,OBARA-中空,铝,210,无,270.0,无,353.0,1进1出,,,,,,,,,,,,,,
广西原南_上汽通用五菱-宝骏新能源,SDZC-3C30297,小型,160.0,握杆（?45）,5500.0,,SMF-100,,水平,125,右,0.0,ABB,,OBARA-中空,铝,210,无,470.0,无,460.0,1进1出,,,,,,,,,,,,,,
赛克天河730S,SDEC-3C30230,小型,,握杆（?45）,,,SMF-100,,水平,125,右,,FANUC,,联轴器型,铝,210,无,320.0,无,430.0,1进1出,,,,,,,,,,,,,,
天津福臻_常州福田,SDZC-3C30299,小型,,握杆（?45）,,,ITS85,,水平,125,右,,KUKA,,DIAKONT,铝,150,无,174.0,无,700.0,1进1出,,,,,,,,,,,,,,
广汽本田,SDZC-3C30199L,小型,125.0,握杆（?45）,5500.0,,SMF-100,,水平,其他,右,,YASKAWA,,OBARA-中空,铝,210,有,450.0,无,405.4,2进2出,,,,,,,,,,,,,,
广州永联_广汽本田_五厂,SDZC-3C30205L,小型,150.0,握杆（?45）,5500.0,,ITS85,,水平,其他,右,45.0,YASKAWA,,OBARA-中空,铝,210,有,380.0,无,475.4,2进2出,,,,,,,,,,,,,,
广州永联_广汽本田_五厂,SDZC-3C30204L,小型,130.0,握杆（?36）,4500.0,,ITS85,,水平,其他,上,20.0,YASKAWA,,OBARA-中空,铝,210,有,520.0,无,440.4,2进2出,,,,,,,,,,,,,,
广州永联_广汽本田_五厂,SDZC-3C30203L,小型,135.0,握杆（?36）,4500.0,,SMF-100,,水平,其他,上,,YASKAWA,,OBARA-中空,铝,210,有,235.0,无,400.4,2进2出,,,,,,,,,,,,,,
广州永联（福臻模拟）_广汽本田,SDZC-3C30256AL,小型,170.0,握杆（?45）,5500.0,,ITS85,,水平,125,后,45.0,YASKAWA,,OBARA-中空,铝,210,无,320.0,无,490.4,2进2出,,,,,,,,,,,,,,
广州永联（福臻模拟）_广汽本田,SDZC-3C30258L,小型,170.0,握杆（?45）,5500.0,,ITS85,,水平,125,右,30.0,YASKAWA,,OBARA-中空,铝,210,无,370.0,无,430.4,2进2出,,,,,,,,,,,,,,
广州永联（福臻模拟）_广汽本田,SDZC-3C30256L,小型,170.0,握杆（?45）,5500.0,,ITS85,,水平,125,右,,YASKAWA,,OBARA-中空,铝,210,无,320.0,无,490.4,2进2出,,,,,,,,,,,,,,
广州永联（福臻模拟）_广汽本田,SDZC-3C30255L,小型,155.0,握杆（?45）,5500.0,,ITS85,,水平,125,前,,YASKAWA,,OBARA-中空,铝,210,无,220.0,无,430.4,2进2出,,,,,,,,,,,,,,
天津联恒-MMA(FFT),SDZC-3C30266,小型,155.0,TIP BASE（G 型）,5400.0,,DB6-90,,水平,125,右,0.0,ABB,,OBARA-中空,铝,210,无,152.0,无,270.0,1进1出,,,,,,,,,,,,,,
天津联恒-MMA(FFT),SDZC-3C30265,小型,150.0,握杆（?45）,5500.0,,DB6-90,,水平,125,上,0.0,ABB,,OBARA-中空,铝,210,无,330.0,无,500.0,1进1出,,,,,,,,,,,,,,
天津联恒-MMA(FFT),SDZC-3C30264,小型,180.0,握杆（?45）,6000.0,,DB6-90,,水平,125,右,0.0,ABB,,OBARA-中空,铝,210,无,260.0,无,550.0,1进1出,,,,,,,,,,,,,,
广州永联-广汽本田-五厂,SDZC-3C30195L,小型,180.0,握杆（?45）,5500.0,,SMF-100,,水平,其他,右,35.0,ABB,,OBARA-中空,铝,210,NITTA,424.0,无,515.0,2进2出,,,,,,,,,,,,,,
广州永联-广汽本田-五厂,SDZC-3C30194L,小型,180.0,握杆（?45）,4500.0,,SMF-100,,水平,其他,右,0.0,ABB,,OBARA-中空,铝,210,NITTA,430.0,无,535.0,2进2出,,,,,,,,,,,,,,
天津联恒,SDZC-3C30285,小型,,握杆（?50）,,,DB6-90,,水平,125,右,,FANUC,,OBARA-中空,铝,210,无,185.0,无,360.0,1进1出,,,,,,,,,,,,,,
广州永联-广汽本田-五厂,SDZC-3C30193L,大型,285.0,握杆（?45）,4000.0,,SMF-100,,水平,其他,前,0.0,YASKAWA,,OBARA-中空,SS400,310,NITTA,720.0,无,810.0,2进2出,,,,,,,,,,,,,,
天津联恒-奔驰MMA小件(上海正臻),SDZC-3C30262,小型,145.0,握杆（?45）,4300.0,,DB6-90,105.0,水平,125,下,0.0,FANUC,,OBARA-中空,铝,210,无,175.0,无,400.0,1进1出,,,,,,,,,,,,,,
广汽本田,SDZC-3C30198L,小型,160.7,握杆（?45）,5500.0,,SMF-100,,水平,其他,上,30.0,YASKAWA,,OBARA-中空,铝,210,NITTA,400.0,无,415.4,2进2出,,,,,,,,,,,,,,
上海ABB_广州小鹏,SDZC-3C30077A,小型,125.0,握杆（?45）,5000.0,,MF-100,,水平,160,右,45.0,ABB,,OBARA-中空,铝,150,无,200.0,无,350.0,1进1出,,,,,,,,,,,,,,
上海ABB_广州小鹏,SDZC-3C30249L,小型,130.0,握杆（?36）,5500.0,,MF-100,,水平,160,右,20.0,ABB,,TOLOMATIC,SS400,150,无,200.0,无,500.0,1进1出,,,,,,,,,,,,,,
广州永联-广汽本田-五厂,SDZC-3C30207L,小型,190.0,握杆（?45）,5000.0,,SMF-100,,水平,其他,后,0.0,FANUC,,OBARA-中空,铝,210,NITTA,500.0,无,600.0,2进2出,,,,,,,,,,,,,,
广州瑞松北斗-广州小鹏,SDZC-3C30091A,小型,90.0,握杆（?45）,4500.0,,MF-100,,水平,160,上,0.0,ABB,,TOLOMATIC,铝,150,无,200.0,无,350.0,1进1出,,,,,,,,,,,,,,
广州瑞松北斗_广州小鹏,SDZC-3C30247L,小型,127.0,握杆（?45）,4500.0,,其他,,水平,其他,后,0.0,ABB,,TOLOMATIC,SS400,150,STAUBLI,370.0,无,325.0,1进1出,,,,,,,,,,,,,,
广州永联-广汽本田-五厂,SDZC-3C30206L,小型,190.0,握杆（?45）,5000.0,,SMF-100,,水平,其他,后,0.0,FANUC,,OBARA-中空,铝,210,NITTA,350.0,无,610.0,2进2出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30226L,大型,189.0,握杆（?45）,4500.0,,ITS85,,水平,125,右,30.0,KUKA,,联轴器型,铝,310,无,210.0,无,450.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30211L,小型,150.0,TIP BASE（G 型）,4000.0,,ITS85,,水平,160,右,15.0,KUKA,,联轴器型,铝,210,无,126.0,无,271.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30238L,大型,210.0,握杆（?45）,4000.0,,ITS85,,水平,125,上,20.0,KUKA,,联轴器型,铝,310,无,700.0,无,654.9,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30233L,小型,120.0,握杆（?45）,4500.0,,ITS85,,水平,125,右,,KUKA,,OBARA-中空,铝,210,ATI-QC310,300.0,无,400.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30223L,小型,190.0,握杆（?45）,4500.0,,ITS85,,水平,125,下,45.0,ABB,,OBARA-中空,铝,210,无,210.0,无,360.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30227L,小型,157.0,握杆（?45）,4500.0,,ITS85,143.0,水平,125,下,30.0,KUKA,,联轴器型,铝,210,有,210.0,无,360.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30225L,小型,160.0,握杆（?45）,4500.0,,ITS85,111.0,水平,125,右,0.0,KUKA,,联轴器型,铝,210,无,230.0,无,435.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30213L,小型,100.0,TIP BASE（G 型）,4500.0,,ITS85,,水平,160,右,0.0,KUKA,,联轴器型,铝,210,无,70.0,无,,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30212L,小型,110.0,TIP BASE（G 型）,3500.0,,ITS85,,水平,125,右,0.0,KUKA,,联轴器型,铝,210,无,30.0,无,,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30246L,小型,185.0,握杆（?45）,4500.0,,ITS85,,水平,125,上,0.0,KUKA,,联轴器型,铝,210,无,330.0,无,500.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30210L,小型,150.0,握杆（?45）,4500.0,,ITS85,,水平,125,上,0.0,KUKA,,联轴器型,铝,210,无,300.0,无,400.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30245L,小型,190.0,TIP BASE（F 型）,3500.0,,ITS85,115.0,水平,125,右,,KUKA,,联轴器型,铝,210,无,175.0,无,402.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30222L,小型,150.0,握杆（?45）,4500.0,,ITS85,92.0,水平,160,前,0.0,KUKA,,联轴器型,铝,210,无,300.0,无,370.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_滴滴汽车,SDEC-3C30209L,大型,290.0,握杆（?45）,4500.0,,ITS85,142.0,水平,125,后,0.0,ABB,,联轴器型,SS400,310,无,690.0,无,691.0,1进1出,,,,,,,,,,,,,,
赛克天河730S,SDEC-3C30229,小型,,握杆（?36）,,,SMF-100,,水平,125,右,,FANUC,,联轴器型,铝,210,无,350.0,无,430.0,1进1出,,,,,,,,,,,,,,
赛克格丰,SDZC-3C30208,小型,,握杆（?45）,,,SMF-100,,水平,125,右,,多摩川,,OBARA-中空,铝,210,无,,无,,1进1出,,,,,,,,,,,,,,
广西原南_上汽通用五菱-宝骏门盖内板焊接线项目,SDZC-3C30189L,小型,,握杆（?45）,,,SMF-100,,水平,125,上,,YASKAWA,,OBARA-中空,铝,210,无,215.0,无,470.0,1进1出,,,,,,,,,,,,,,
广西原南_上汽通用五菱-宝骏门盖内板焊接线项目,SDZC-3C30187L,小型,,握杆（?45）,,,SMF-100,,水平,125,上,,YASKAWA,,OBARA-中空,铝,210,无,460.0,无,510.0,1进1出,,,,,,,,,,,,,,
广西原南_上汽通用五菱-宝骏门盖内板焊接线项目,SDZC-3C30188L,小型,,握杆（?45）,,,SMF-100,,水平,125,上,,YASKAWA,,OBARA-中空,铝,210,无,460.0,无,510.0,1进1出,,,,,,,,,,,,,,
广州永联（福臻模拟）-广汽本田,SDEC-3C30186L,小型,110.0,握杆（?45）,4500.0,,ITS85,,水平,125,上,0.0,YASKAWA,,联轴器型,铝,210,无,300.0,无,350.0,2进2出,,,,,,,,,,,,,,
广州永联（福臻模拟）-广汽本田_一厂后盖,SDZC-3C30167L,小型,155.0,握杆（?45）,4500.0,,ITS85,,水平,125,上,0.0,YASKAWA,,OBARA-中空,铝,210,无,330.0,无,400.0,2进2出,,,,,,,,,,,,,,
广州永联（福臻模拟）-广汽本田_一厂后盖,SDZC-3C30163L,小型,170.0,握杆（?45）,5500.0,,ITS85,,水平,125,前,30.0,YASKAWA,,OBARA-中空,铝,210,无,320.0,无,430.0,2进2出,,,,,,,,,,,,,,
五菱赛克格丰,SDZC-3C30179,小型,,TIP BASE（G 型）,,,SMF-100,,水平,125,右,,多摩川,,OBARA-中空,铝,210,无,110.0,无,180.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30157L,小型,120.0,握杆（?45）,2500.0,,其他,,水平,125,上,0.0,ABB,,TOLOMATIC,铝,150,ATI-QC210,145.0,无,370.0,1进1出,,145.0,上,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30156L,小型,130.0,握杆（?36）,5000.0,,其他,,水平,125,右,,ABB,,TOLOMATIC,铝,150,ATI-QC210,220.0,无,370.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30138L,小型,130.0,握杆（?36）,5000.0,,其他,,水平,125,右,,ABB,,TOLOMATIC,铝,150,ATI-QC210,220.0,无,370.0,1进1出,,,,,,,,,,,,,,
烟台君屹_潍坊福田,SDEC-3C30154L,小型,130.0,握杆（?45）,4500.0,,SMF-100,,水平,160,下,20.0,KUKA,,联轴器型,铝,210,有,280.0,无,420.0,1进1出,,,,,,,,,,,,,,
本田生产技术改造,SDZC-3C30004A,小型,75.0,握杆（?45）,5500.0,,SMF-100,,水平,其他,下,,FANUC,,OBARA-中空,铝,210,NITTA,179.0,无,267.0,2进2出,,80.0,下,,,,,,,,,,,
34442>上海ABB_肇庆小鹏,SDZC-3C30149,小型,180.0,握杆（?36）,5000.0,,SMF-100,100.0,水平,160,右,30.0,ABB,,OBARA-中空,铝,200,无,280.0,无,600.0,1进1出,,,,,,,,,,,,,,
34442>上海ABB_肇庆小鹏,SDZC-3C30150,小型,150.0,握杆（?45）,5000.0,,MF-100,,水平,160,上,,ABB,,OBARA-中空,铝,210,无,300.0,无,500.0,1进1出,,,,,,,,,,,,,,
34442>上海ABB_肇庆小鹏,SDZC-3C30153,小型,180.0,握杆（?45）,6000.0,,MF-100,101.0,水平,160,上,,ABB,,OBARA-中空,铝,210,无,350.0,无,540.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30152,小型,157.0,握杆（?45）,5000.0,,MF-100,108.0,水平,160,右,0.0,KUKA,,OBARA-中空,铝,210,无,324.0,无,490.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30151,小型,177.0,握杆（?45）,5000.0,,ITS85,109.0,水平,160,上,0.0,ABB,,TOLOMATIC,铝,210,无,350.0,无,540.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30142L,小型,130.0,握杆（SBA）,4000.0,,MF-100,,水平,125,上,0.0,ABB,,OBARA-中空,铝,150,有,178.0,无,340.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30143AL,小型,130.0,握杆（?36）,6000.0,,MF-100,,水平,125,上,15.0,ABB,,OBARA-中空,铝,150,有,280.0,无,450.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30143BL,小型,130.0,握杆（?36）,6000.0,,MF-100,,水平,160,后,,ABB,,OBARA-中空,铝,150,无,280.0,无,450.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30143,小型,130.0,握杆（?36）,6000.0,,MF-100,,水平,160,右,0.0,ABB,,OBARA-中空,铝,150,无,280.0,无,450.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30144,小型,130.0,握杆（?45）,6000.0,,MF-100,,水平,160,上,0.0,ABB,,OBARA-中空,铝,150,无,320.0,无,353.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30139,大型,177.0,握杆（?36）,5000.0,,MF-100,,水平,160,上,,ABB,,TOLOMATIC,铝,200,无,600.0,无,510.0,1进1出,,,,,,,,,,,,,,
34442>上海ABB_肇庆小鹏,SDZC-3C30137,小型,,握杆（?45）,5000.0,,ITS85,,水平,160,右,20.0,ABB,,OBARA-中空,铝,210,无,225.0,无,515.0,1进1出,,,,,,,,,,,,,,
上海ABB_肇庆小鹏,SDZC-3C30141L,小型,130.0,TIP BASE（G 型）,5000.0,,MF-100,,水平,160,前,,ABB,,TOLOMATIC,铝,150,无,70.0,无,415.0,1进1出,,,,,,,,,,,,,,
中汽工程-柳州五菱工业-G200项目,SDZC-3C30117,小型,118.0,握杆（?45）,4000.0,,SMF-100,,水平,125,右,,KUKA,,DIAKONT,铝,150,无,,无,520.0,1进1出,,203.0,下,,,,,,,,,,,
中汽工程-柳州五菱工业-G200项目,SDZC-3C30123L,小型,110.0,握杆（?36）,5000.0,,SMF-100,,水平,160,右,,KUKA,,DIAKONT,铝,150,有,155.0,无,450.0,1进1出,,,,,,,,,,,,,,
天津福臻_重庆长安五工厂,SDZC-3C30108,小型,161.0,握杆（SBA）,5000.0,,SMF-100,108.0,水平,125,右,,ABB,,OBARA-中空,铝,210,无,200.0,无,540.0,2进2出,,,,,,,,,,,,,,
广西原南-上汽通用五菱,SDZC-3C30104,小型,150.0,握杆（?36）,4500.0,,ITS85,87.0,水平,160,右,,多摩川,,OBARA-中空,铝,210,无,320.0,无,430.0,1进1出,,,,,,,,,,,,,,
安徽巨一_长沙三一重工,SDZC-3C30046L,小型,125.0,握杆（?36）,5500.0,,ITS85,100.0,水平,125-160,上,,其他,,联轴器型,铝,210,有,500.0,无,350.0,1进1出,,,,,,,,,,,,,,
安徽巨一_长沙三一重工,SDZC-3C30046AL,大型,125.0,握杆（?36）,4500.0,,ITS85,93.0,水平,125,上,,其他,,DIAKONT,铝,150,无,200.0,无,350.0,1进1出,,,,,,,,,,,,,,
上海艾巧_宜兴富陶,SDEC-3C30040L,小型,190.0,握杆（?36）,4000.0,,ITS85,92.0,水平,125,右,,YASKAWA,,联轴器型,铝,210,无,350.0,无,425.0,2进2出,,,,,,,,,,,,,,
