描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
廊坊振华-KL项目（优耐思）,SDEX-AC4209AL(450-275-080195),小型,,握杆,4500.0,,DB6,,水平,125,下,30.0,ABB,,联轴器型,铝,110,无,450.0,无,250.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,,,,,
廊坊振华-KL项目（优耐思）,SDEX-AC4211AL(600-460-260200),大型,185.0,握杆,4500.0,,DB6,,水平,125,上,,ABB,,中空,铝,110,无,600.0,无,460.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,310.0,,,,
精工自动化-重庆长安福特,SDZX-C4310L,大型,310.0,握杆,4500.0,,DB6,,水平,160,后,90.0,ABB,1.0,中空,SS400,160,有,990.0,无,5815.0,1进1出,,,,,,,握杆?45（铝）,,握杆?45（铝）,425.0,786.0,380.0,986.0,435.0
廊坊振华-LF-35-2501-01项目5包(上奥),SDEX-AC4283L(600-510-315195),大型,265.0,握杆,4500.0,,DB6,,水平,125,下,0.0,FANUC,1.0,联轴器型,铝,160,有,600.0,无,510.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,446.0,315.0,396.0,195.0
廊坊振华-LF-35-2501-01项目5包(上奥),SDEX-AC4288L(550-390-120270),大型,240.0,握杆,4500.0,,DB6,,水平,125,下,30.0,FANUC,1.0,联轴器型,铝,160,无,550.0,无,390.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,346.0,120.0,396.0,270.0
廊坊振华-LF-35-2501-01项目5包(上奥),SDEX-AC4285L(550-430-160270),大型,245.0,握杆,4500.0,,DB6,,水平,125,下,15.0,FANUC,1.0,联轴器型,铝,160,无,550.0,无,430.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,296.0,160.0,396.0,270.0
廊坊振华-LF-35-2501-01项目5包(上奥),SDEX-AC4282L(550-430-160270),大型,245.0,握杆,4500.0,,DB6,,水平,125,下,15.0,FANUC,1.0,联轴器型,铝,160,有,550.0,无,430.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,296.0,160.0,396.0,270.0
重庆通达_重庆港湘龙,SRTX-2C21335AL,大型,250.0,握杆,5000.0,,其他,,水平,200,下,0.0,KUKA,,折回,铝,160,无,870.0,无,420.0,1进1出,,,,,,,握杆?45（铝）,,握杆?45（铝）,400.0,696.0,170.0,696.0,250.0
重庆通达_重庆港湘龙,SRTX-2C21335L,大型,250.0,握杆,5000.0,,其他,,水平,160,下,0.0,KUKA,,折回,铝,160,无,870.0,无,420.0,1进1出,,,,,,,握杆?45（铝）,,握杆?45（铝）,400.0,696.0,170.0,696.0,250.0
53228郑州振华-IP5PM项目(上奥),SDEX-AC4264L(870-550-350200),中型,,握杆,,,DB6,,水平,125,上,30.0,FANUC,,联轴器型,SS400,160,无,870.0,无,550.0,,,,,,,,握杆?45（铝）,,握杆?45（铝）,310.0,,,,
53228郑州振华-IP5PM项目(上奥),SDEX-AC4263L(800-560-150410),中型,,握杆,,,DB6,,水平,125,右,,FANUC,,联轴器型,铝,160,无,800.0,无,560.0,,,,,,,,握杆?45（铝）,,握杆?45（铝）,310.0,,,,
53228郑州振华-IP5PM项目(上奥),SDEX-AC4277L(800-560-150410),大型,,握杆,,,DB6,,水平,125,下,,FANUC,,联轴器型,铝,160,无,800.0,无,560.0,,,,,,,,握杆?45（铝）,,握杆?45（铝）,310.0,,,,
53228郑州振华-IP5PM项目(上奥),SDEX-AC4262L(850-560-150410),大型,,握杆,,,DB6,,水平,125,下,,FANUC,,联轴器型,铝,160,无,850.0,无,560.0,,,,,,,,握杆?45（铝）,,握杆?45（铝）,310.0,,,,
郑州振华-IP5PM项目(上奥),SDEX-AC4265L(630-520-350170),小型,,握杆,,,DB6,,竖直,160,下,,FANUC,2.0,联轴器型,铝,160,无,630.0,无,520.0,,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,,,,
郑州振华-IP5PM项目(上海度峰),SDEX-AC4253L(650-315-115200),大型,205.0,握杆,4500.0,,DB6,,水平,125,下,0.0,FANUC,1.0,中空,铝,160,无,650.0,无,315.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,310.0,446.0,115.0,546.0,200.0
郑州振华-IP5PM项目（优耐思）,SDEX-AC4276L(480-380-160220),小型,215.0,握杆,4500.0,,DB6,,水平,125,右,0.0,FANUC,,联轴器型,铝,160,无,480.0,无,380.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,246.0,160.0,346.0,220.0
郑州振华-IP5PM项目（优耐思）,SDEX-AC4274L(500-380-160220),小型,225.0,握杆,4500.0,,DB6,,水平,125,下,20.0,FANUC,,联轴器型,铝,160,无,500.0,无,380.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,246.0,160.0,346.0,220.0
郑州振华-IP5PM项目（优耐思）,SDEX-AC4272L(446-255-060195),小型,195.0,握杆,4500.0,,DB6,,竖直,125,右,0.0,FANUC,,联轴器型,铝,160,无,446.0,无,255.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,246.0,60.0,346.0,195.0
郑州振华-IP5PM项目(上海度峰),SDEX-AC4256L(540-420-080340),小型,235.0,握杆,4500.0,,DB6,,水平,125,下,0.0,FANUC,1.0,联轴器型,铝,160,无,540.0,无,420.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,296.0,80.0,446.0,340.0
郑州振华-IP5PM项目(上海度峰),SDEX-AC4255L(480-230-060170),小型,213.0,握杆,4500.0,,DB6,,竖直,125,下,0.0,FANUC,1.0,联轴器型,铝,160,无,480.0,无,230.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,246.0,60.0,296.0,170.0
郑州振华-IP5PM项目(上海度峰),SDEX-AC4254L(480-230-060170),小型,213.0,握杆,4500.0,,DB6,,竖直,125,右,90.0,FANUC,1.0,联轴器型,铝,160,无,480.0,无,230.0,1进3出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,246.0,60.0,296.0,170.0
M53604C安徽巨一_吉利春晓改造,SDZX-C3104AL,大型,235.0,握杆,5500.0,,DB6,128.0,水平,160,后,15.0,ABB,,中空,SS400,160,有,760.0,无,421.5,,,,,,,,握杆?45（铝）,,握杆?45（铝）,400.0,546.0,195.0,619.0,263.0
M53526上海晓奥-吉利长兴,SDZX-SC2030A,Y,107.0,握杆,4500.0,,DB6,,水平,125-160,上,,KUKA,,中空,铝,160,有,440.0,无,115.0,1进1出,,,,,,,握杆?45（铝）,,握杆?45（铝）,270.0,316.0,60.0,316.0,55.0
郑州振华-IP5PM项目(上奥),SDEX-AC4231L(850-470-150320),大型,265.0,握杆,4500.0,,DB6,,水平,125,右,90.0,FANUC,1.0,联轴器型,铝,160,无,850.0,无,470.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,310.0,596.0,150.0,596.0,320.0
郑州振华-IP5PM项目(上奥),SDEX-AC4233L(425-230-060170),小型,185.0,握杆,4500.0,,DB6,,水平,125,右,90.0,FANUC,1.0,联轴器型,铝,160,无,425.0,无,230.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,246.0,60.0,246.0,170.0
郑州振华-IP5PM项目(上奥),SDEX-AC4239L(546-255-060195),小型,240.0,握杆,4500.0,,DB6,,水平,125,下,0.0,FANUC,1.0,联轴器型,铝,160,无,546.0,无,260.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,246.0,60.0,346.0,195.0
郑州振华-IP5PM项目(上奥),SDEX-AC4227L(500-300-080220),小型,220.0,握杆,4500.0,,DB6,,竖直,125,右,90.0,FANUC,1.0,联轴器型,铝,160,无,500.0,无,300.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,296.0,80.0,346.0,220.0
郑州振华-IP5PM项目(上奥),SDEX-AC4234L(420-300-080220),小型,185.0,握杆,4500.0,,DB6,,竖直,125,下,0.0,FANUC,1.0,联轴器型,铝,160,无,420.0,无,300.0,2进2出,,,,,,,握杆?45（铝）,,握杆?45（铝）,200.0,246.0,80.0,296.0,220.0
